@relation 12168104L2_2

@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
442.73,40,kobieta,11,2505,0,158,48,1
650,58,kobieta,13,1735,0,49,48,0
482.34,24,mężczyzna,17,926,0,50,48,6
200,57,kobieta,16,703,0,20,48,0
500,51,kobieta,11,1700,0,300,48,0
500,59,mężczyzna,16,634,0,313,48,530
300,24,mężczyzna,17,926,0,50,48,6
500,31,mężczyzna,11,2700,0,10,48,8
300,62,kobieta,13,1189,0,64,48,1
500,44,mężczyzna,12,2386.02,0,0,2,1771
500,75,mężczyzna,13,2098,0,192,48,0
300,53,kobieta,16,655,0,26,48,1
400,60,kobieta,16,1411,0,61,48,0
800,60,kobieta,11,2670,0,83,48,6
400,69,kobieta,13,1072,0,147,48,4
500,29,kobieta,12,1447,0,16,23,3
500,58,mężczyzna,17,485,0,138,48,0
700,58,mężczyzna,11,1510,0,160,48,0
400,53,mężczyzna,11,1320,0,337,48,0
310.5,63,kobieta,13,1668,0,86,48,5
250,60,kobieta,13,810,0,28,48,3
200,54,mężczyzna,12,988,0,4,12,0
200,71,mężczyzna,13,1426,0,72,48,0
300,61,kobieta,13,984,0,5,48,0
800,60,mężczyzna,11,1000,0,58,48,0
500,80,kobieta,13,2421.55,0,240,48,0
500,60,kobieta,13,1212,0,48,48,0
400,28,mężczyzna,12,900,0,13,20,5
300,33,mężczyzna,11,1800,0,160,48,0
600,49,kobieta,11,2800,0,313,48,0
600,47,kobieta,12,830.46,0,40,48,0
700,58,kobieta,17,684,0,184,48,0
800,29,mężczyzna,12,1800,0,2,2,1
200,62,mężczyzna,13,1162,0,216,48,0
200,49,mężczyzna,11,1400,0,9,48,1
800,47,kobieta,11,5800,0,49,48,0
300,60,mężczyzna,11,3000,0,207,48,3
500,65,kobieta,13,930,0,125,48,2
900,33,kobieta,11,2050,0,23,48,2
526.61,21,mężczyzna,12,1200,0,4,17,374
300,52,kobieta,11,1050,0,13,48,0
300,62,kobieta,13,1065,0,16,48,0
200,50,kobieta,12,2000,0,29,48,2
449.7,23,mężczyzna,99,980,0,6,7,3
400,55,kobieta,11,2800,0,4,48,0
500,36,kobieta,11,2478,0,152,48,9
300,61,kobieta,13,997,0,74,48,0
500,61,kobieta,13,1362,0,51,48,2
600,57,kobieta,12,1680,0,65,48,0
200,65,kobieta,13,665.92,0,120,48,1
500,64,kobieta,13,958.25,0,86,48,2
400,64,kobieta,13,1015,0,104,48,0
200,20,mężczyzna,17,985,0,8,11,1
300,56,kobieta,98,980,0,4,48,0
600,63,kobieta,13,930,0,88,48,3
500,52,mężczyzna,11,3200,0,184,48,0
700,42,mężczyzna,11,2258,0,70,48,2
300,35,kobieta,12,1200,0,3,14,0
500,61,mężczyzna,11,2250.05,0,171,48,3
500,72,mężczyzna,13,1700,0,9,48,0
300,49,mężczyzna,13,3900,0,25,48,1
500,35,mężczyzna,11,2200,0,80,48,7
200,46,mężczyzna,11,1360,0,114,48,0
500,46,mężczyzna,12,2500,0,3,4,0
500,32,kobieta,12,1260,0,14,23,0
200,38,kobieta,99,2800,0,5,6,1
600,22,mężczyzna,12,1800,0,12,12,51
200,40,mężczyzna,12,1000,0,1,3,2
400,27,mężczyzna,11,1700,0,34,48,182
200,24,mężczyzna,12,1000,0,7,24,0
749,76,kobieta,13,1377.23,0,252,48,0
200,74,kobieta,13,1026,0,242,48,0
700,72,mężczyzna,13,2802,0,242,48,2
200,78,mężczyzna,13,1263,0,244,48,212
700,27,kobieta,11,2100,0,17,48,0
300,62,kobieta,13,714,0,217,48,0
300,58,kobieta,13,1240,0,65,48,0
300,70,kobieta,13,865,0,122,48,0
200,60,kobieta,16,684.64,0,336,48,0
400,39,mężczyzna,13,1750,0,24,48,336
