@relation 12168104L2_2-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F2-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F3-S4-weka.filters.unsupervised.attribute.MergeTwoValues-C1-F1-S3

@attribute status_pozyczki {zly,dobry}
@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute płeć {kobieta,mężczyzna}
@attribute rodzaj_źródła_dochodu numeric
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobierał_dochód numeric
@attribute okres_w_jakim_będzie_pobierał_dochód numeric
@attribute opóźnienie_spłaty numeric

@data
dobry,400,39,kobieta,11,1239.05,0,198,48,3
dobry,500,31,kobieta,12,1600,0,8,11,5
zly,500,23,mężczyzna,11,980,0,9,48,0
dobry,400,60,kobieta,13,1425,0,73,48,4
dobry,500,52,kobieta,12,1500,0,20,32,0
dobry,200,57,mężczyzna,13,12220,0,65,48,0
dobry,800,62,kobieta,13,3700,0,21,48,3
dobry,200,60,kobieta,13,1635,0,114,48,0
dobry,200,70,kobieta,13,1769.91,0,191,48,10
dobry,1500,57,mężczyzna,98,3000,0,63,48,2
dobry,900,48,kobieta,12,1500,0,8,26,7
dobry,600,56,mężczyzna,11,3335,0,427,48,0
dobry,1144.25,48,kobieta,12,2127.68,0,8,16,119
dobry,200,40,kobieta,17,646,0,48,48,11
zly,200,62,kobieta,13,1450,0,50,48,1781
dobry,300,59,kobieta,13,1658,0,23,48,0
dobry,500,57,kobieta,11,2249.14,0,235,48,2
dobry,1940.52,77,kobieta,13,3100,0,204,48,486
dobry,500,42,mężczyzna,11,1700,0,246,48,0
dobry,400,68,kobieta,16,980,0,125,48,1
dobry,500,49,kobieta,11,2500,0,227,48,0
dobry,300,49,kobieta,11,992.84,0,115,48,0
dobry,500,62,kobieta,13,1900,0,82,48,0
dobry,200,45,mężczyzna,12,670,0,3,11,0
dobry,951.23,28,mężczyzna,12,1800,0,21,22,476
dobry,500,62,kobieta,13,962,0,60,48,3
dobry,400,54,kobieta,11,2800,0,54,48,0
dobry,200,50,kobieta,11,1577.42,0,200,48,0
dobry,300,38,kobieta,98,1200,0,40,48,0
dobry,300,53,kobieta,16,1740,0,108,48,10
zly,300,54,kobieta,13,736,0,253,48,0
dobry,200,50,mężczyzna,16,1045,0,194,48,0
dobry,400,39,kobieta,11,1200,0,8,48,0
dobry,400,61,mężczyzna,11,1250,0,60,48,0
zly,310.02,50,kobieta,98,570,0,22,48,1777
dobry,600,35,kobieta,11,1065,0,54,48,4
dobry,400,51,mężczyzna,12,2100,0,15,40,284
dobry,700,55,kobieta,16,2300,0,57,48,0
dobry,400,53,kobieta,11,1300,0,29,48,4
dobry,300,56,kobieta,11,1187.06,0,128,48,0
dobry,300,63,kobieta,13,1100,0,100,48,0
dobry,300,69,mężczyzna,16,1100,0,132,48,0
dobry,600,47,mężczyzna,11,2500,0,198,48,3
dobry,300,66,mężczyzna,13,2110,0,96,48,0
dobry,300,69,mężczyzna,13,940,0,48,48,4
dobry,250,58,kobieta,13,1500,0,41,48,5
zly,300,37,kobieta,17,802.63,0,28,48,0
dobry,576.61,66,kobieta,13,650,0,68,48,2
dobry,600,54,kobieta,11,1300,0,62,48,5
dobry,300,39,kobieta,12,1027,0,3,48,0
zly,300,33,kobieta,12,1000,0,2,5,1776
dobry,500,33,kobieta,12,1540,0,33,39,2
dobry,500,44,mężczyzna,12,2000,0,6,24,0
zly,300,42,mężczyzna,12,1400,0,20,48,1774
zly,500,32,mężczyzna,11,1400,0,1,48,0
dobry,565.98,72,kobieta,13,3541.9,0,121,48,4
